transaction_id,items
145,"[np.str_('Beef'), np.str_('Butter'), np.str_('Potato'), np.str_('Shampoo'), np.str_('Tea'), np.str_('Yogurt')]"
146,"[np.str_('Fish'), np.str_('Pork'), np.str_('Tea'), np.str_('Water')]"
147,"[np.str_('Banana'), np.str_('Bread'), np.str_('Cheese'), np.str_('Soap'), np.str_('Tea'), np.str_('Tomato'), np.str_('Yogurt')]"
148,"[np.str_('Bread'), np.str_('Butter'), np.str_('Cake'), np.str_('Coffee'), np.str_('Milk'), np.str_('Water'), np.str_('Yogurt')]"
149,"[np.str_('Apple'), np.str_('Pork')]"
150,"[np.str_('Croissant'), np.str_('Detergent'), np.str_('Pork'), np.str_('Tomato')]"
151,"[np.str_('Butter'), np.str_('Lettuce'), np.str_('Potato')]"
152,"[np.str_('Banana'), np.str_('Beef'), np.str_('Carrot'), np.str_('Eggs'), np.str_('Potato'), np.str_('Shampoo'), np.str_('Soap')]"
153,"[np.str_('Cheese'), np.str_('Toilet Paper')]"
154,"[np.str_('Banana'), np.str_('Cake'), np.str_('Coffee'), np.str_('Fish'), np.str_('Soap'), np.str_('Toilet Paper'), np.str_('Tomato')]"
155,"[np.str_('Bagel'), np.str_('Eggs'), np.str_('Tea'), np.str_('Yogurt')]"
156,"[np.str_('Cheese'), np.str_('Soda')]"
157,"[np.str_('Banana'), np.str_('Detergent'), np.str_('Eggs'), np.str_('Milk'), np.str_('Tea')]"
158,"[np.str_('Butter'), np.str_('Croissant'), np.str_('Shampoo'), np.str_('Tomato'), np.str_('Toothpaste')]"
159,"[np.str_('Chicken'), np.str_('Potato'), np.str_('Soda'), np.str_('Tea')]"
160,"[np.str_('Cheese'), np.str_('Lettuce'), np.str_('Tomato')]"
161,"[np.str_('Beef'), np.str_('Yogurt')]"
162,"[np.str_('Chicken'), np.str_('Detergent'), np.str_('Orange'), np.str_('Potato'), np.str_('Shampoo'), np.str_('Yogurt')]"
163,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Pork'), np.str_('Toilet Paper')]"
164,"[np.str_('Banana'), np.str_('Cake'), np.str_('Croissant'), np.str_('Soap'), np.str_('Soda'), np.str_('Toothpaste')]"
165,"[np.str_('Beef'), np.str_('Cheese'), np.str_('Milk'), np.str_('Tea'), np.str_('Toothpaste')]"
166,"[np.str_('Bagel'), np.str_('Bread'), np.str_('Carrot'), np.str_('Chicken'), np.str_('Pork'), np.str_('Tea'), np.str_('Tomato')]"
167,"[np.str_('Banana'), np.str_('Carrot'), np.str_('Croissant'), np.str_('Milk')]"
168,"[np.str_('Apple'), np.str_('Beef'), np.str_('Cake'), np.str_('Coffee'), np.str_('Eggs'), np.str_('Lettuce'), np.str_('Water')]"
169,"[np.str_('Apple'), np.str_('Detergent'), np.str_('Juice'), np.str_('Shampoo')]"
170,"[np.str_('Toilet Paper'), np.str_('Toothpaste')]"
171,"[np.str_('Croissant'), np.str_('Orange'), np.str_('Pork'), np.str_('Tea'), np.str_('Water')]"
172,"[np.str_('Chicken'), np.str_('Croissant'), np.str_('Pork'), np.str_('Tea')]"
173,"[np.str_('Banana'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Toothpaste')]"
174,"[np.str_('Bagel'), np.str_('Cake'), np.str_('Cheese'), np.str_('Chicken'), np.str_('Fish'), np.str_('Toilet Paper'), np.str_('Water')]"
175,"[np.str_('Beef'), np.str_('Butter'), np.str_('Lettuce')]"
176,"[np.str_('Banana'), np.str_('Beef'), np.str_('Butter'), np.str_('Coffee'), np.str_('Toilet Paper')]"
177,"[np.str_('Bagel'), np.str_('Bread'), np.str_('Carrot'), np.str_('Cheese'), np.str_('Croissant'), np.str_('Soda'), np.str_('Water')]"
178,"[np.str_('Butter'), np.str_('Coffee'), np.str_('Lettuce'), np.str_('Orange'), np.str_('Pork'), np.str_('Potato'), np.str_('Soda')]"
179,"[np.str_('Lettuce'), np.str_('Shampoo')]"
180,"[np.str_('Bagel'), np.str_('Carrot'), np.str_('Chicken'), np.str_('Potato'), np.str_('Shampoo')]"
181,"[np.str_('Cake'), np.str_('Detergent'), np.str_('Pork'), np.str_('Yogurt')]"
182,"[np.str_('Milk'), np.str_('Shampoo'), np.str_('Toilet Paper'), np.str_('Water')]"
183,"[np.str_('Bagel'), np.str_('Carrot')]"
184,"[np.str_('Bagel'), np.str_('Chicken'), np.str_('Yogurt')]"
185,"[np.str_('Cheese'), np.str_('Chicken'), np.str_('Milk'), np.str_('Soda'), np.str_('Toilet Paper'), np.str_('Yogurt')]"
186,"[np.str_('Fish'), np.str_('Juice')]"
187,"[np.str_('Carrot'), np.str_('Shampoo'), np.str_('Tomato')]"
188,"[np.str_('Carrot'), np.str_('Cheese'), np.str_('Eggs'), np.str_('Tomato'), np.str_('Toothpaste'), np.str_('Yogurt')]"
189,"[np.str_('Coffee'), np.str_('Potato'), np.str_('Toothpaste')]"
190,"[np.str_('Juice'), np.str_('Toothpaste')]"
191,"[np.str_('Apple'), np.str_('Bread'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Shampoo')]"
192,"[np.str_('Banana'), np.str_('Chicken'), np.str_('Shampoo')]"
193,"[np.str_('Orange'), np.str_('Pork'), np.str_('Shampoo'), np.str_('Soap')]"
194,"[np.str_('Detergent'), np.str_('Soap')]"
195,"[np.str_('Cheese'), np.str_('Coffee'), np.str_('Lettuce'), np.str_('Orange'), np.str_('Shampoo')]"
196,"[np.str_('Banana'), np.str_('Bread'), np.str_('Croissant'), np.str_('Lettuce'), np.str_('Milk')]"
197,"[np.str_('Beef'), np.str_('Pork'), np.str_('Toilet Paper')]"
198,"[np.str_('Beef'), np.str_('Cake'), np.str_('Lettuce'), np.str_('Milk')]"
199,"[np.str_('Bagel'), np.str_('Cheese')]"
200,"[np.str_('Carrot'), np.str_('Croissant'), np.str_('Eggs'), np.str_('Soap')]"
201,"[np.str_('Bagel'), np.str_('Chicken'), np.str_('Coffee')]"
202,"[np.str_('Butter'), np.str_('Carrot'), np.str_('Orange'), np.str_('Pork'), np.str_('Shampoo'), np.str_('Tea')]"
203,"[np.str_('Butter'), np.str_('Cake'), np.str_('Croissant'), np.str_('Detergent'), np.str_('Yogurt')]"
204,"[np.str_('Water'), np.str_('Yogurt')]"
205,"[np.str_('Carrot'), np.str_('Cheese'), np.str_('Croissant'), np.str_('Detergent'), np.str_('Shampoo'), np.str_('Soda'), np.str_('Toilet Paper')]"
206,"[np.str_('Banana'), np.str_('Cheese')]"
207,"[np.str_('Cheese'), np.str_('Chicken'), np.str_('Detergent'), np.str_('Tea')]"
208,"[np.str_('Apple'), np.str_('Cake'), np.str_('Milk')]"
209,"[np.str_('Butter'), np.str_('Croissant'), np.str_('Detergent')]"
210,"[np.str_('Orange'), np.str_('Soda')]"
211,"[np.str_('Apple'), np.str_('Chicken'), np.str_('Coffee'), np.str_('Eggs'), np.str_('Soap'), np.str_('Soda')]"
212,"[np.str_('Banana'), np.str_('Butter'), np.str_('Coffee'), np.str_('Fish'), np.str_('Orange'), np.str_('Tomato')]"
213,"[np.str_('Bagel'), np.str_('Milk'), np.str_('Pork'), np.str_('Toothpaste')]"
214,"[np.str_('Apple'), np.str_('Croissant'), np.str_('Detergent'), np.str_('Juice'), np.str_('Orange'), np.str_('Toilet Paper'), np.str_('Tomato')]"
215,"[np.str_('Apple'), np.str_('Banana'), np.str_('Cake'), np.str_('Cheese'), np.str_('Pork'), np.str_('Tea')]"
216,"[np.str_('Cake'), np.str_('Detergent'), np.str_('Juice'), np.str_('Orange'), np.str_('Toilet Paper'), np.str_('Tomato'), np.str_('Toothpaste')]"
217,"[np.str_('Bread'), np.str_('Juice'), np.str_('Soda'), np.str_('Tea')]"
218,"[np.str_('Beef'), np.str_('Cake'), np.str_('Milk'), np.str_('Pork'), np.str_('Soap')]"
219,"[np.str_('Beef'), np.str_('Cheese'), np.str_('Coffee'), np.str_('Detergent'), np.str_('Toothpaste'), np.str_('Water'), np.str_('Yogurt')]"
220,"[np.str_('Beef'), np.str_('Bread'), np.str_('Juice'), np.str_('Pork'), np.str_('Tomato'), np.str_('Yogurt')]"
221,"[np.str_('Butter'), np.str_('Carrot'), np.str_('Soda'), np.str_('Tea'), np.str_('Tomato')]"
222,"[np.str_('Lettuce'), np.str_('Potato'), np.str_('Soap'), np.str_('Yogurt')]"
223,"[np.str_('Cake'), np.str_('Juice'), np.str_('Orange'), np.str_('Tea')]"
224,"[np.str_('Beef'), np.str_('Butter')]"
225,"[np.str_('Butter'), np.str_('Lettuce'), np.str_('Pork'), np.str_('Soda')]"
226,"[np.str_('Bread'), np.str_('Cake'), np.str_('Detergent'), np.str_('Eggs'), np.str_('Toilet Paper'), np.str_('Toothpaste')]"
227,"[np.str_('Beef'), np.str_('Orange')]"
228,"[np.str_('Water'), np.str_('Yogurt')]"
229,"[np.str_('Banana'), np.str_('Beef'), np.str_('Cake'), np.str_('Chicken'), np.str_('Fish'), np.str_('Toilet Paper')]"
230,"[np.str_('Apple'), np.str_('Chicken'), np.str_('Eggs'), np.str_('Pork'), np.str_('Toilet Paper'), np.str_('Yogurt')]"
231,"[np.str_('Apple'), np.str_('Chicken'), np.str_('Soda')]"
232,"[np.str_('Cake'), np.str_('Tea')]"
233,"[np.str_('Fish'), np.str_('Orange'), np.str_('Potato')]"
234,"[np.str_('Shampoo'), np.str_('Soap'), np.str_('Soda')]"
235,"[np.str_('Banana'), np.str_('Butter'), np.str_('Chicken'), np.str_('Juice'), np.str_('Potato'), np.str_('Toothpaste')]"
236,"[np.str_('Chicken'), np.str_('Coffee'), np.str_('Juice'), np.str_('Shampoo'), np.str_('Toilet Paper'), np.str_('Tomato'), np.str_('Water')]"
237,"[np.str_('Croissant'), np.str_('Soap')]"
238,"[np.str_('Banana'), np.str_('Detergent'), np.str_('Milk'), np.str_('Orange'), np.str_('Toilet Paper'), np.str_('Water')]"
239,"[np.str_('Butter'), np.str_('Cake'), np.str_('Eggs')]"
240,"[np.str_('Chicken'), np.str_('Lettuce'), np.str_('Milk')]"
241,"[np.str_('Cake'), np.str_('Carrot'), np.str_('Detergent'), np.str_('Orange'), np.str_('Toilet Paper')]"
242,"[np.str_('Bagel'), np.str_('Carrot'), np.str_('Fish'), np.str_('Lettuce'), np.str_('Shampoo'), np.str_('Toothpaste')]"
243,"[np.str_('Carrot'), np.str_('Detergent'), np.str_('Lettuce'), np.str_('Tomato')]"
244,"[np.str_('Bagel'), np.str_('Banana'), np.str_('Chicken'), np.str_('Fish'), np.str_('Orange'), np.str_('Potato'), np.str_('Shampoo')]"
245,"[np.str_('Bagel'), np.str_('Cake'), np.str_('Fish'), np.str_('Lettuce'), np.str_('Orange')]"
246,"[np.str_('Apple'), np.str_('Butter'), np.str_('Cheese'), np.str_('Croissant'), np.str_('Yogurt')]"
247,"[np.str_('Bagel'), np.str_('Croissant'), np.str_('Detergent'), np.str_('Soap'), np.str_('Toilet Paper'), np.str_('Tomato')]"
248,"[np.str_('Butter'), np.str_('Cake'), np.str_('Coffee'), np.str_('Fish'), np.str_('Milk'), np.str_('Tea'), np.str_('Water')]"
249,"[np.str_('Apple'), np.str_('Carrot'), np.str_('Croissant'), np.str_('Orange'), np.str_('Soap'), np.str_('Soda')]"
250,"[np.str_('Beef'), np.str_('Tomato')]"
251,"[np.str_('Cheese'), np.str_('Coffee'), np.str_('Lettuce'), np.str_('Shampoo'), np.str_('Soda')]"
252,"[np.str_('Beef'), np.str_('Carrot'), np.str_('Croissant'), np.str_('Pork'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Tea')]"
253,"[np.str_('Apple'), np.str_('Cake'), np.str_('Soap')]"
254,"[np.str_('Apple'), np.str_('Bagel'), np.str_('Banana'), np.str_('Coffee'), np.str_('Juice'), np.str_('Pork'), np.str_('Tea')]"
255,"[np.str_('Banana'), np.str_('Butter'), np.str_('Croissant'), np.str_('Lettuce'), np.str_('Orange'), np.str_('Toilet Paper')]"
256,"[np.str_('Bread'), np.str_('Cake'), np.str_('Coffee'), np.str_('Croissant')]"
257,"[np.str_('Juice'), np.str_('Toilet Paper'), np.str_('Toothpaste'), np.str_('Water')]"
258,"[np.str_('Cheese'), np.str_('Juice'), np.str_('Soda')]"
259,"[np.str_('Beef'), np.str_('Potato'), np.str_('Yogurt')]"
260,"[np.str_('Bagel'), np.str_('Butter')]"
261,"[np.str_('Bagel'), np.str_('Beef'), np.str_('Cake'), np.str_('Pork'), np.str_('Soap')]"
262,"[np.str_('Cheese'), np.str_('Yogurt')]"
263,"[np.str_('Banana'), np.str_('Beef'), np.str_('Butter'), np.str_('Carrot'), np.str_('Pork'), np.str_('Tomato'), np.str_('Toothpaste')]"
264,"[np.str_('Croissant'), np.str_('Milk'), np.str_('Potato'), np.str_('Shampoo'), np.str_('Soap'), np.str_('Toothpaste')]"
